Statutory_Code,Literal_display,Code_Type,Charge_Type,Type,CJIS,Low Term (Months),Mid Term (Months),Upper Term (Months),AB109,Wobbler,Calcrim Instruction,
580,Sale of medical degree,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
581,Fraudulent procurement or alteration of medical diploma,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
582,Fraudulent use of medical diploma,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
583,False statement by medical license applicant,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
584,Impersonation during medical license examination,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
650,Accepting consideration for referring patients to clinic or lab,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
650,Accepting consideration for referring patients to clinic or lab w/prior conviction,BPC,Crime,Felony,,16,24,36,Yes,No,,
654.1,Prohibited referral of patient,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
654.1,Prohibited referral of patient w/prior conviction,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
655.5,Prohibited billing practices,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
655.5,Prohibited billing practices w/prior conviction,BPC,Crime,Felony,,16,24,36,Yes,No,,
729,"Sexual exploitation by physician, psychotherapist, or alcohol and drug abuse counselor involving two or more victims",BPC,Crime,Felony,,16,24,36,Yes,Yes,,
729,"Two or more acts of sexual exploitation by physician, psychotherapist, or alcohol and drug abuse counselor involving single victim w/prior conviction",BPC,Crime,Felony,,16,24,36,Yes,Yes,,
729,"Sexual exploitation by physician, psychotherapist, or alcohol and drug abuse counselor involving two or more victims w/prior conviction",BPC,Crime,Felony,,16,24,36,Yes,No,,
1282.3,"Improper collection, storage, or labeling of biological specimen w/willful or wanton disregard for safety",BPC,Crime,Felony,,16,24,36,Yes,Yes,,
1282.3,"Improper collection, storage, or labeling of biological specimen w/willful or wanton disregard for safety w/prior conviction",BPC,Crime,Felony,,24,48,72,Yes,Yes,,
1701,"Sale/alter dentist's diploma, etc. w/prior conviction",BPC,Crime,Felony,,16,24,36,Yes,No,,
1701.1,Unlicensed practice of dentistry,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
1960,"Sale/alter dental hygiene diploma, etc. w/prior conviction",BPC,Crime,Felony,,16,24,36,Yes,No,,
2052(a),Unauthorized practice of medicine,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
2052(b),Aiding or abetting another in the unauthorized practice of medicine,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
2273,"Employing runners, steerers, or others to procure patients w/prior conviction",BPC,Crime,Felony,,16,24,36,Yes,Yes,,
2417.5,Fraudulent claims for outpatient elective cosmetic medical procedures—more than $950,BPC,Crime,Felony,,24,36,60,Yes,Yes,,
4324(a),Forgery of prescription,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
4324(b),Possession of drugs secured by forged prescription,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
4336,"Use of minor as agent regarding pharmaceuticals by doctor/veterinarian,etc. ",BPC,Crime,Felony,,16,24,36,Yes,No,,
5536.5,Unlicensed practice of architecture services during state of emergency,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
6126(b) ,Unauthorized practice of law by person disbarred or suspended from membership in state bar,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
6126(c) ,Failure of member of State Bar or one who has resigned or been disbarred to comply w/order of Supreme Court to comply w/Cal Rules of Ct 9.20 ,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
6152,Unlawful solicitation w/pc,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
6788,Unlicensed practice of engineering services during state of emergency,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
7027.3,Fraudulent use of contractor's license number ,BPC,Crime,Felony,,16,24,36,No,Yes,,
7028.16,Repairing structures damaged by a natural disaster w/o a contractor's license ,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
7502.3,Falsifying ﬁngerprints and photographs required by this chapter(repossessors),BPC,Crime,Felony,,16,24,36,No,No,,
7565,Falsifying ﬁngerprints and photographs required by this chapter(private investigators) ,BPC,Crime,Felony,,16,24,36,No,No,,
7587.13,Falsifying ﬁngerprints and photographs required by this chapter(private security services),BPC,Crime,Felony,,16,24,36,No,No,,
7592.6,Falsifying ﬁngerprints and photographs required by this chapter(alarm companies),BPC,Crime,Felony,,16,24,36,No,No,,
7739,Violation of preneed funeral arrangements provisions,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
10238.6,False or misleading statements regarding property securities qualiﬁcation,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11010,Failure to notify real estate commissioner re sale of property,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11010.1,Failure to notify real estate commissioner of intent to issue notes secured by property,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11013.1,Sale or lease of property subject to blanket encumbrance,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11013.2,Sale or lease of property subject to blanket encumbrance,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11013.4,Sale or lease of property not subject to blanket encumbrance,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11018.2,Sale or lease of property w/o public report,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11018.7,Failure to apply for consent from real estate commissioner to amend or modify property documents,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11019,Failure to cease and desist activities when ordered re prop sales,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11020,"Forge, alter, or counterfeit public report",BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11022,False or misleading real estate advertising,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11286,"Issuing forged, altered, or false public report",BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11287,Violation of time-share project provisions,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
11320,Appraising real estate w/o license,BPC,Crime,Felony,,16,24,36,Yes,Yes,,
